study,system,model,condition,run,metric,unit,value
primary_concurrency,baseline,BERT-base,concurrency=32,2,mean_ms,ms,62.62
primary_concurrency,baseline,BERT-base,concurrency=32,3,throughput,requests/s,509.54
primary_concurrency,baseline,BERT-base,concurrency=32,3,mean_ms,ms,62.63
primary_concurrency,baseline,BERT-base,concurrency=32,4,throughput,requests/s,516.2
primary_concurrency,baseline,BERT-base,concurrency=32,4,mean_ms,ms,61.83
primary_concurrency,baseline,BERT-base,concurrency=32,5,throughput,requests/s,512.32
primary_concurrency,baseline,BERT-base,concurrency=32,5,mean_ms,ms,62.33
model_comparison,gazsi,BERT-base,concurrency=16,1,throughput,requests/s,1584.62
model_comparison,gazsi,BERT-base,concurrency=16,1,mean_ms,ms,10.08
model_comparison,gazsi,BERT-base,concurrency=16,2,throughput,requests/s,1580.01
model_comparison,gazsi,BERT-base,concurrency=16,2,mean_ms,ms,10.12
model_comparison,gazsi,BERT-base,concurrency=16,3,throughput,requests/s,1561.8
model_comparison,gazsi,BERT-base,concurrency=16,3,mean_ms,ms,10.23
model_comparison,gazsi,BERT-base,concurrency=16,4,throughput,requests/s,1393.84
model_comparison,gazsi,BERT-base,concurrency=16,4,mean_ms,ms,11.47
model_comparison,gazsi,BERT-base,concurrency=16,5,throughput,requests/s,1183.2
model_comparison,gazsi,BERT-base,concurrency=16,5,mean_ms,ms,13.51
model_comparison,gazsi,GPT-2,concurrency=16,1,throughput,requests/s,743.45
model_comparison,gazsi,GPT-2,concurrency=16,1,mean_ms,ms,21.49
model_comparison,gazsi,GPT-2,concurrency=16,2,throughput,requests/s,780.58
model_comparison,gazsi,GPT-2,concurrency=16,2,mean_ms,ms,20.48
model_comparison,gazsi,GPT-2,concurrency=16,3,throughput,requests/s,741.2
model_comparison,gazsi,GPT-2,concurrency=16,3,mean_ms,ms,21.56
model_comparison,gazsi,GPT-2,concurrency=16,4,throughput,requests/s,815.27
model_comparison,gazsi,GPT-2,concurrency=16,4,mean_ms,ms,19.6
model_comparison,gazsi,GPT-2,concurrency=16,5,throughput,requests/s,800.68
model_comparison,gazsi,GPT-2,concurrency=16,5,mean_ms,ms,19.96
model_comparison,gazsi,GPT-2-Large,concurrency=16,1,throughput,requests/s,114.61
model_comparison,gazsi,GPT-2-Large,concurrency=16,1,mean_ms,ms,139.08
model_comparison,gazsi,GPT-2-Large,concurrency=16,2,throughput,requests/s,109.95
model_comparison,gazsi,GPT-2-Large,concurrency=16,2,mean_ms,ms,144.6
model_comparison,gazsi,GPT-2-Large,concurrency=16,3,throughput,requests/s,106.08
model_comparison,gazsi,GPT-2-Large,concurrency=16,3,mean_ms,ms,149.81
model_comparison,gazsi,GPT-2-Large,concurrency=16,4,throughput,requests/s,118.32
model_comparison,gazsi,GPT-2-Large,concurrency=16,4,mean_ms,ms,134.28
model_comparison,gazsi,GPT-2-Large,concurrency=16,5,throughput,requests/s,117.81
model_comparison,gazsi,GPT-2-Large,concurrency=16,5,mean_ms,ms,134.91
model_comparison,baseline,BERT-base,concurrency=16,1,throughput,requests/s,604.76
model_comparison,baseline,BERT-base,concurrency=16,1,mean_ms,ms,26.41
model_comparison,baseline,BERT-base,concurrency=16,2,throughput,requests/s,607.11
model_comparison,baseline,BERT-base,concurrency=16,2,mean_ms,ms,26.32
model_comparison,baseline,BERT-base,concurrency=16,3,throughput,requests/s,606.67
model_comparison,baseline,BERT-base,concurrency=16,3,mean_ms,ms,26.34
model_comparison,baseline,BERT-base,concurrency=16,4,throughput,requests/s,597.67
model_comparison,baseline,BERT-base,concurrency=16,4,mean_ms,ms,26.73
model_comparison,baseline,BERT-base,concurrency=16,5,throughput,requests/s,569.81
model_comparison,baseline,BERT-base,concurrency=16,5,mean_ms,ms,28.04
model_comparison,baseline,GPT-2,concurrency=16,1,throughput,requests/s,570.33
model_comparison,baseline,GPT-2,concurrency=16,1,mean_ms,ms,28.02
model_comparison,baseline,GPT-2,concurrency=16,2,throughput,requests/s,563.59
model_comparison,baseline,GPT-2,concurrency=16,2,mean_ms,ms,28.35
model_comparison,baseline,GPT-2,concurrency=16,3,throughput,requests/s,569.26
model_comparison,baseline,GPT-2,concurrency=16,3,mean_ms,ms,28.07
model_comparison,baseline,GPT-2,concurrency=16,4,throughput,requests/s,567.06
model_comparison,baseline,GPT-2,concurrency=16,4,mean_ms,ms,28.17
model_comparison,baseline,GPT-2,concurrency=16,5,throughput,requests/s,557.98
model_comparison,baseline,GPT-2,concurrency=16,5,mean_ms,ms,28.64
model_comparison,baseline,GPT-2-Large,concurrency=16,1,throughput,requests/s,102.83
model_comparison,baseline,GPT-2-Large,concurrency=16,1,mean_ms,ms,154.68
model_comparison,baseline,GPT-2-Large,concurrency=16,2,throughput,requests/s,100.38
model_comparison,baseline,GPT-2-Large,concurrency=16,2,mean_ms,ms,158.48
model_comparison,baseline,GPT-2-Large,concurrency=16,3,throughput,requests/s,102.36
model_comparison,baseline,GPT-2-Large,concurrency=16,3,mean_ms,ms,155.42
model_comparison,baseline,GPT-2-Large,concurrency=16,4,throughput,requests/s,97.1
model_comparison,baseline,GPT-2-Large,concurrency=16,4,mean_ms,ms,163.78
model_comparison,baseline,GPT-2-Large,concurrency=16,5,throughput,requests/s,98.74
model_comparison,baseline,GPT-2-Large,concurrency=16,5,mean_ms,ms,161.0
