study,system,model,condition,metric,unit,n,mean,sample_sd,ci95_low,ci95_high
serving_reference,triton,BERT-base,concurrency=32,mean_ms,ms,5,36.071,0.33071815795326487,35.66035916971716,36.481640830282835
serving_reference,triton,BERT-base,concurrency=32,run_p50_ms,ms,5,36.3226,0.431757802477268,35.78650188072041,36.858698119279595
serving_reference,triton,BERT-base,concurrency=32,run_p90_ms,ms,5,38.8644,1.4581503008949395,37.05386726740877,40.67493273259124
serving_reference,triton,BERT-base,concurrency=32,run_p99_ms,ms,5,42.417,2.0029641784115872,39.92999148997455,44.904008510025456
serving_reference,triton,BERT-base,concurrency=32,throughput,requests/s,5,885.6168,8.154373133478755,875.4918084522394,895.7417915477606
serving_reference,triton,BERT-base,concurrency=4,mean_ms,ms,5,7.519,0.25548874730602117,7.2017688205239345,7.836231179476066
serving_reference,triton,BERT-base,concurrency=4,run_p50_ms,ms,5,7.5238000000000005,0.18972005692598765,7.288231435577832,7.759368564422169
serving_reference,triton,BERT-base,concurrency=4,run_p90_ms,ms,5,8.0808,0.3529960339720547,7.642497533108186,8.519102466891814
serving_reference,triton,BERT-base,concurrency=4,run_p99_ms,ms,5,9.5606,1.1799547872694103,8.09549262113939,11.025707378860611
serving_reference,triton,BERT-base,concurrency=4,throughput,requests/s,5,530.8038,17.565750587435765,508.9930398941544,552.6145601058457
serving_reference,triton,BERT-base,concurrency=8,mean_ms,ms,5,10.1066,0.273971348866994,9.76641963957253,10.446780360427471
serving_reference,triton,BERT-base,concurrency=8,run_p50_ms,ms,5,10.3092,0.492551723172298,9.69761625808373,10.92078374191627
serving_reference,triton,BERT-base,concurrency=8,run_p90_ms,ms,5,11.615400000000001,0.42741583966905056,11.084693139620908,12.146106860379094
serving_reference,triton,BERT-base,concurrency=8,run_p99_ms,ms,5,13.6204,0.4130863105938032,13.107485599984855,14.133314400015145
serving_reference,triton,BERT-base,concurrency=8,throughput,requests/s,5,789.9652,21.58293392243051,763.1664479729072,816.7639520270927
shared_gpu_model_kernel,gazsi,BERT-base,concurrency=8;receive_queues=4;batch=1,model_kernel_increase,percent,3,0.4377333333333333,0.04094778749008711,0.3360133902177301,0.5394532764489366
